chapter_id,week,all_feats,buildings,highways,amenities,other,mappers
1132,2020-08-10,1960,1299,455,78,128,2
44,2020-08-10,5896,5551,304,1,40,11
91,2020-08-17,109,14,72,13,10,1
1132,2020-08-17,2400,1679,368,78,275,3
1190,2020-08-17,683,680,3,0,0,2
110,2020-08-17,3851,2663,204,32,952,6
100,2020-08-17,214,151,56,1,6,1
46,2022-01-03,755,726,14,0,15,1
949,2022-01-03,54,54,0,0,0,1
57,2022-01-03,8,0,8,0,0,1
1069,2022-01-03,1663,1545,97,1,20,1
71,2022-01-03,77,52,23,0,2,2
77,2022-01-03,186,120,24,3,39,2
1098,2022-01-10,5606,3455,583,10,1558,14
3,2022-01-10,4883,4474,206,19,184,8
1149,2022-01-10,225,101,93,10,21,1
1,2022-01-10,18823,18537,95,1,190,4
99,2022-01-10,57,7,6,0,44,1
1105,2022-01-17,2051,1732,58,95,166,2
77,2022-01-17,48,0,0,0,48,1
1018,2025-10-13,3215,527,535,0,2153,1
1041,2025-10-13,1738,1726,8,0,4,1
216,2025-10-13,1132,1123,9,0,0,1
1070,2025-10-13,2850,2666,8,6,170,1
1422,2025-10-20,3443,3303,105,4,31,1
1132,2025-10-20,795,52,258,68,417,2
93,2025-10-20,3338,2226,378,41,693,2
97,2025-10-20,1024,676,334,0,14,3
1057,2025-10-20,6881,6406,289,107,79,5
3,2025-10-27,361,320,0,0,41,4
216,2025-10-27,4459,4327,130,0,2,1
99,2025-10-27,83,83,0,0,0,1
1043,2025-10-27,1933,1491,420,4,18,3
1018,2025-10-27,732,95,545,1,91,2
90,2023-10-16,1337,1222,92,0,23,3
1290,2023-10-16,746,656,7,70,13,3
1054,2023-10-16,199,187,10,0,2,5
1100,2023-10-16,71,6,42,21,2,1
1018,2023-10-16,246,30,151,4,61,7
3,2023-10-23,6133,5790,91,50,202,8
1102,2023-10-23,594,34,504,43,13,1
208,2023-10-23,17386,17380,5,1,0,3
1041,2023-10-23,800,781,19,0,0,4
1312,2023-10-23,42,9,29,0,4,1
1065,2023-10-23,34,22,12,0,0,2
1132,2023-10-30,2031,233,1514,40,244,2
1045,2023-10-30,21,4,17,0,0,1
93,2023-10-30,1030,931,79,1,19,1
151,2023-10-30,1151,1040,109,0,2,1
67,2023-10-30,410,354,1,1,54,4
219,2020-06-15,4372,3836,272,1,263,11
1,2020-06-15,19628,19046,480,9,93,4
216,2020-06-15,1109,930,167,0,12,1
1075,2020-06-15,5407,4647,761,0,-1,1
1098,2020-06-15,1352,879,65,3,405,3
44,2020-06-22,906,824,77,0,5,4
47,2020-06-22,3,0,3,0,0,1
1132,2020-06-22,2119,1784,170,48,117,2
964,2020-06-22,4016,37,988,24,2967,1
1053,2020-06-22,10098,10026,3,20,49,4
110,2020-06-22,996,959,26,2,9,3
53,2020-06-22,237,119,54,33,31,5
4,2020-06-22,28,13,3,1,11,1
4,2020-06-29,35,4,22,2,7,1
1132,2020-06-29,1919,1151,439,73,256,2
1053,2020-06-29,12245,6042,18,28,6157,3
53,2020-06-29,358,283,59,12,4,4
1132,2023-03-27,268,30,54,121,63,2
110,2023-03-27,3801,3653,117,7,24,4
1228,2023-03-27,10,9,1,0,0,1
1131,2023-03-27,520,501,0,0,19,5
1099,2023-03-27,31,28,1,1,1,1
51,2023-03-27,79,45,0,12,22,2
46,2023-03-27,180,131,17,0,32,4
67,2023-03-27,3329,3167,151,6,5,6
96,2023-03-27,505,449,33,0,23,5
1010,2023-03-27,187,142,17,0,28,1
97,2023-03-27,602,556,46,0,0,3
44,2023-03-27,2471,2317,82,17,55,6
97,2023-04-03,756,725,11,5,15,3
96,2023-04-03,312,270,37,0,5,4
63,2023-04-03,1235,895,30,195,115,2
108,2023-04-03,165,68,49,0,48,1
67,2023-04-03,3353,3201,146,1,5,6
1132,2023-04-03,688,21,279,169,219,2
1004,2023-04-03,329,171,21,69,68,3
115,2023-04-03,331,209,4,3,115,2
46,2023-04-03,104,103,1,0,0,2
77,2023-04-03,179,86,36,3,54,4
93,2023-04-03,1847,1629,146,2,70,3
1099,2023-04-03,57,51,5,0,1,1
44,2023-04-03,2017,1960,53,0,4,5
88,2023-04-10,1763,1249,3,0,511,2
93,2023-04-10,3770,3501,172,4,93,1
1115,2023-04-10,776,263,494,1,18,1
4,2022-02-14,1885,1214,68,187,416,3
964,2022-02-14,1861,1077,509,37,238,1
63,2022-02-21,4655,3927,566,0,162,1
86,2022-02-21,2910,2833,64,0,13,1
4,2022-02-21,2845,664,28,792,1361,4
110,2022-02-21,22901,22749,103,3,46,12
44,2022-02-21,5966,4756,1196,0,14,6
46,2022-02-21,675,580,88,0,7,1
964,2022-02-21,1201,502,541,27,131,1
92,2022-02-21,1080,1073,6,2,-1,1
